kind,url,expect,http_status,content_type,content_length,ct_family_ok,verdict
live_build_asset,/assets/charts-vendor-EmPn-XEw.js,200 非 text/html,200,application/javascript; charset=utf-8,,yes,PASS
live_build_asset,/assets/index-BcpiK1F-.css,200 非 text/html,200,text/css; charset=utf-8,,yes,PASS
live_build_asset,/assets/index-CuPHA2zN.js,200 非 text/html,200,application/javascript; charset=utf-8,,yes,PASS
live_build_asset,/assets/query-vendor-C8n6LMuu.js,200 非 text/html,200,application/javascript; charset=utf-8,,yes,PASS
live_build_asset,/assets/react-vendor-ClfsUb_Q.js,200 非 text/html,200,application/javascript; charset=utf-8,,yes,PASS
live_build_asset,/assets/supabase-vendor-DRV0WTei.js,200 非 text/html,200,application/javascript; charset=utf-8,,yes,PASS
live_build_asset,/assets/ui-vendor-DZ34nDpz.js,200 非 text/html,200,application/javascript; charset=utf-8,,yes,PASS
missing_probe,/assets/index-DOESNOTEXIST-b1verify.js,404,404,text/plain; charset=utf-8,79,yes,PASS
missing_probe,/audio/primary/phonics/g4v2_u1/tiger.mp3,404,404,text/plain; charset=utf-8,79,yes,PASS
missing_probe,/audio/primary/phonics/g4v2_u1/water.mp3,404,404,text/plain; charset=utf-8,79,yes,PASS
missing_probe,/primary/finalChallenge_images/definitely-not-here-b1verify.png,404,404,text/plain; charset=utf-8,79,yes,PASS
spa_route,/,200 text/html,200,text/html; charset=utf-8,,yes,PASS
spa_route,/about,200 text/html,200,text/html; charset=utf-8,,yes,PASS
spa_route,/account,200 text/html,200,text/html; charset=utf-8,,yes,PASS
spa_route,/admin/feedback,200 text/html,200,text/html; charset=utf-8,,yes,PASS
spa_route,/admin/grammar-content,200 text/html,200,text/html; charset=utf-8,,yes,PASS
spa_route,/american,200 text/html,200,text/html; charset=utf-8,,yes,PASS
spa_route,/american/book/1,200 text/html,200,text/html; charset=utf-8,,yes,PASS
spa_route,/american/book/1/hub/1,200 text/html,200,text/html; charset=utf-8,,yes,PASS
spa_route,/american/hub/1,200 text/html,200,text/html; charset=utf-8,,yes,PASS
spa_route,/american/lesson/am1_l01,200 text/html,200,text/html; charset=utf-8,,yes,PASS
spa_route,/american/lesson/am1_l01/stage/1,200 text/html,200,text/html; charset=utf-8,,yes,PASS
spa_route,/american/review,200 text/html,200,text/html; charset=utf-8,,yes,PASS
spa_route,/ask,200 text/html,200,text/html; charset=utf-8,,yes,PASS
spa_route,/auth,200 text/html,200,text/html; charset=utf-8,,yes,PASS
spa_route,/cet,200 text/html,200,text/html; charset=utf-8,,yes,PASS
spa_route,/china,200 text/html,200,text/html; charset=utf-8,,yes,PASS
spa_route,/dashboard,200 text/html,200,text/html; charset=utf-8,,yes,PASS
spa_route,/dashboard/grammar,200 text/html,200,text/html; charset=utf-8,,yes,PASS
spa_route,/dashboard/list/1/todo,200 text/html,200,text/html; charset=utf-8,,yes,PASS
spa_route,/disclaimer,200 text/html,200,text/html; charset=utf-8,,yes,PASS
spa_route,/friend/1,200 text/html,200,text/html; charset=utf-8,,yes,PASS
spa_route,/friends,200 text/html,200,text/html; charset=utf-8,,yes,PASS
spa_route,/gaokao,200 text/html,200,text/html; charset=utf-8,,yes,PASS
spa_route,/gaokao/books/required,200 text/html,200,text/html; charset=utf-8,,yes,PASS
spa_route,/gaokao/cloze,200 text/html,200,text/html; charset=utf-8,,yes,PASS
spa_route,/gaokao/cloze-board-legacy,200 text/html,200,text/html; charset=utf-8,,yes,PASS
spa_route,/gaokao/cloze/1,200 text/html,200,text/html; charset=utf-8,,yes,PASS
spa_route,/gaokao/deep-diagnosis,200 text/html,200,text/html; charset=utf-8,,yes,PASS
spa_route,/gaokao/exam,200 text/html,200,text/html; charset=utf-8,,yes,PASS
spa_route,/gaokao/g/4,200 text/html,200,text/html; charset=utf-8,,yes,PASS
spa_route,/gaokao/g/4/mistakes,200 text/html,200,text/html; charset=utf-8,,yes,PASS
spa_route,/gaokao/grammar,200 text/html,200,text/html; charset=utf-8,,yes,PASS
spa_route,/gaokao/grammar-board-legacy,200 text/html,200,text/html; charset=utf-8,,yes,PASS
spa_route,/gaokao/grammar/x,200 text/html,200,text/html; charset=utf-8,,yes,PASS
